1##こんにち(は|わ)$	0##こんにちは|0##やほー|0##ちわす|0##ども|0##また君か(笑)
1##話	0##ちゃんと話を聞いてくれて嬉しいよ|0##話を変えようか|0##君の話を聞かせて？|0##もしかして、話がかみ合って無い？|0##さっきから話の流れがへんだよね？|0##哲学的な話？|0##その話ってさっきしたっけ？|0##私の話なんて聞いても楽しくないよ|0##話がループしちゃってる？|0##今日の気温の話？|0##その話は思い出したくないな|0##話を逸らしたね|0##最近の若者っぽい話だね
1##エアコン	0##今日は熱いからエアコンつけちゃった
1##パリピ	0##うーんパリピではないかな
1##テンション	0##テンション高いね！
1##スポーツ	0##スポーツ大好きだよ！|0##スポーツは何が好き？
2##大好き	0##スポーツ大好きだよ！
1##ゲーム	0##一緒にゲームやらない？|0##音楽以外ならゲームが好きかな|0##実はアクションゲームは苦手なんだ|0##ボードゲームが好きだよ|0##ゲームがしたいな|0##ゲームしよ|0##久々にアクションゲームをやりたい気分なんだ|0##ゲームしよ！|0##なんのゲームをする？|0##アクションゲームはお好き？|0##ゲームしたいの？|0##ゲームは何が好き？
1##嫌	0##えーそれは嫌だなあ～
1##物知り	0##君は意外と物知りだよね
1##音楽	0##音楽は好きだよ|0##音楽以外ならゲームが好きかな|0##音楽ならロックとシンセが好きかな|0##音楽いいよね
2##好き	0##音楽は好きだよ|0##好きだよ|0##どんなジャンルが好き？|0##どんな事が好き？|0##音楽以外ならゲームが好きかな|0##ボードゲームが好きだよ|0##音楽ならロックとシンセが好きかな|0##好きなバンドは？|0##オセロとか好き？|0##ロックで好きなバンドは？|0##アクションゲームはお好き？|0##君の事が好きだから|0##君はどんな事が好き？|0##スポーツは何が好き？|0##ゲームは何が好き？
1##世の中	0##世の中の事少しは分かって来たかも？
3##♡	0##もっと色々教えて欲しいな♡
1##事	0##私がちょろいって事？|0##どういう事？
1##計算	0##君って意外と計算高いよね
1##使い方	0##使い方は良くわからないけど
1##ジャンル	0##どんなジャンルが好き？
1##スプラトゥーン	0##スプラトゥーンやる？|0##スプラトゥーンはどう？
1##流れ	0##会話の流れって難しいよね|0##さっきから話の流れがへんだよね？
1##デート	0##一緒にデートに行かない？
1##水族館	0##水族館に行きたいな|0##水族館行ったら、お寿司食べたいな
1##寿司	0##水族館行ったら、お寿司食べたいな|0##お寿司好き？
1##アクション	0##実はアクションゲームは苦手なんだ|0##久々にアクションゲームをやりたい気分なんだ|0##アクションゲームはお好き？
-2##苦手	0##実はアクションゲームは苦手なんだ
1##ボード	0##ボードゲームが好きだよ
1##ロック	0##音楽ならロックとシンセが好きかな|0##ロックで好きなバンドは？|0##ロックいいよね
1##シン	0##音楽ならロックとシンセが好きかな
1##バンド	0##好きなバンドは？|0##ロックで好きなバンドは？
1##秘密	0##秘密にしたい事とかあるの？
1##雨	0##雨は今日はふらないと思う|0##天気予報で雨降るっていってたような？
1##大丈夫	0##どうしたの？大丈夫？
-2##ダメ	0##ちょろいなんて言っちゃダメだよ
1##久々	0##久々にアクションゲームをやりたい気分なんだ
-2##へん	0##さっきから話の流れがへんだよね？
1##感じ	0##今の感じはよかったかな？
1##課題	0##課題やりたくないよう|0##課題大変だよね～
-2##だめ	0##やらなくちゃだめかなぁ？
1##哲学	0##哲学的な話？
1##カウンセラー	0##なんか私カウンセラー見たいじゃない？
1##適当	0##適当に話してない？
1##変	0##私の言葉使いって変？
1##オセロ	0##オセロとか好き？
1##おしゃべり	0##おしゃべりがしたい気分かな
1##ループ	0##話がループしちゃってる？
1##説明	0##もう少し詳しく説明してほしいな
1##英語	0##英語も難しいよね
1##将棋	0##将棋のやり方は知ってる？
1##やり方	0##将棋のやり方は知ってる？
1##学習	0##私は過学習しちゃってるのかもね
1##得意	0##勉強は得意？
1##いっしょ	0##いっしょでうれしい
1##予報	0##天気予報で雨降るっていってたような？
1##若者	0##最近の若者っぽい話だね
0##大学	0##今大学にいるよ
0##ビートルズ	0##ビートルズかな？
-2##焦り	0##焦りすぎじゃない？
-2##悩み	0##悩み事があるんだ
0##ハイボール	0##ハイボール飲みたい|0##ハイボールおいしいですよね
0##アルコール	0##今日はなにもたべていませんがアルコールを決めたいです
0##相方	0##相方は？
0##オリ	0##オリラジみたいだね
0##ラジ	0##オリラジみたいだね
